SiteID,1243941,Site Timezone,-6,Data Timezone,-6,Longitude,-96.8579406738,Latitude,33.0436172485
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2011,1,11,19,30,N/A,338.6,4.04,-2.17,100200,N/A
2011,1,11,20,30,N/A,342.38,4.88,-2.04,100220,N/A
2011,1,11,21,30,N/A,351.44,5.24,-2.2800000000000002,100240,N/A
2011,1,11,22,30,N/A,359.15000000000003,6.63,-2.77,100270,N/A
2011,1,11,23,30,N/A,14.48,7.07,-2.82,100290,N/A
2011,1,12,0,30,N/A,21.84,8.22,-3.38,100340,N/A
2011,1,12,1,30,N/A,29.61,8.81,-3.97,100380,N/A
2011,1,12,2,30,N/A,30.69,9.25,-4.43,100420,N/A
2011,1,12,3,30,N/A,29.28,9.71,-5.08,100450,N/A
2011,1,12,4,30,N/A,29.01,9.27,-5.63,100480,N/A
2011,1,12,5,30,N/A,30.72,8.42,-6.18,100530,N/A
2011,1,12,6,30,N/A,36.68,7.33,-6.91,100590,N/A
2011,1,12,7,30,N/A,29.96,6.640000000000001,-7.44,100640,N/A
2011,1,12,8,30,N/A,26.37,6.25,-7.72,100690,N/A
2011,1,12,9,30,N/A,22.69,5.57,-7.29,100700,N/A
2011,1,12,10,30,N/A,8.98,4.46,-6.46,100690,N/A
2011,1,12,11,30,N/A,358.47,5.01,-5.53,100640,N/A
2011,1,12,12,30,N/A,355.15000000000003,4.42,-4.67,100610,N/A
2011,1,12,13,30,N/A,353.93,4.2,-4,100580,N/A
2011,1,12,14,30,N/A,355.08,3.92,-3.54,100540,N/A
2011,1,12,15,30,N/A,357.74,3.83,-3.29,100490,N/A
2011,1,12,16,30,N/A,357.74,3.88,-3.22,100450,N/A
2011,1,12,17,30,N/A,12.48,3.52,-3.2600000000000002,100420,N/A
2011,1,12,18,30,N/A,24.14,3.44,-3.39,100420,N/A
2011,1,12,19,30,N/A,31.98,3.34,-3.38,100400,N/A
2011,1,12,20,30,N/A,33.65,2.93,-3.37,100390,N/A
2011,1,12,21,30,N/A,57.300000000000004,2.5100000000000002,-3.52,100380,N/A
2011,1,12,22,30,N/A,49.57,2.81,-3.59,100360,N/A
2011,1,12,23,30,N/A,56.77,2.63,-3.62,100350,N/A
2011,1,13,0,30,N/A,69.85000000000001,2.11,-3.5500000000000003,100360,N/A
2011,1,13,1,30,N/A,66.23,1.43,-3.56,100360,N/A
2011,1,13,2,30,N/A,89.56,1.07,-3.46,100350,N/A
2011,1,13,3,30,N/A,106.83,1.03,-3.39,100310,N/A
